id,name,description
22,กลุ่มชุดดินที่ 22,กลุ่มดินร่วนหยาบลึกมากที่เกิดจากตะกอนลำน้ำเนื้อหยาบ ปฏิกิริยาดินเป็นกรดจัดถึงเป็นกลาง การระบายน้ำเลวถึงค่อนข้างเลว ความอุดมสมบูรณ์ต่ำ
23,กลุ่มชุดดินที่ 23,กลุ่มดินทรายลึกมากที่เกิดจากตะกอนทรายชายทะเล ปฏิกิริยาดินเป็นกรดเล็กน้อยถึงเป็นกลาง การระบายน้ำเลว ความอุดมสมบูรณ์ต่ำ
24,กลุ่มชุดดินที่ 24,กลุ่มดินทรายลึกมากเกิดจากตะกอนลำน้ำที่มีเนื้อดินเป็นดินทรายหนา ปฏิกิริยาดินเป็นกรด การระบายน้ำค่อนข้างเลวถึงดีปานกลาง ความอุดมสมบูรณ์ต่ำ
25,กลุ่มชุดดินที่ 25,กลุ่มดินตื้น ปฏิกิริยาดินเป็นกรดจัดถึงเป็นด่างเล็กน้อย การระบายน้ำเลวถึงค่อนข้างเลว ความอุดมสมบูรณ์ต่ำ
26,กลุ่มชุดดินที่ 26,กลุ่มดินเหนียวลึกถึงลึกมากที่เกิดจากตะกอนลำน้ำหรือวัตถุต้นกำเนิดดินเนื้อละเอียด ปฏิกิริยาดินเป็นกรดจัดมาก การระบายน้ำดีถึงดีปานกลาง ความอุดมสมบูรณ์ต่ำ
27,กลุ่มชุดดินที่ 27,กลุ่มดินเหนียวจัดสีแดงลึกมากที่เกิดจากหินภูเขาไฟ มีปฏิกิริยาดินเป็นกรดจัด การระบายน้ำดี ความอุดมสมบูรณ์ปานกลาง
28,กลุ่มชุดดินที่ 28,กลุ่มดินเหนียวลึกมากสีดำที่มีรอยแตกระแหงกว้างและลึก ปฏิกิริยาดินเป็นกลางถึงเป็นด่าง การระบายน้ำดีถึงดีปานกลาง ความอุดมสมบูรณ์ปานกลางถึงสูง
29,กลุ่มชุดดินที่ 29,กลุ่มดินเหนียวลึกถึงลึกมากที่เกิดจากวัตถุต้นกำเนิดดินเนื้อละเอียด ปฏิกิริยาดินเป็นกรดจัด การระบายน้ำดีถึงดีปานกลาง ความอุดมสมบูรณ์ต่ำ
30,กลุ่มชุดดินที่ 30,กลุ่มดินเหนียวลึกถึงลึกมากที่พบในพื้นที่ภูเขา ปฏิกิริยาดินเป็นกรดจัด การระบายน้ำดี ความอุดมสมบูรณ์ปานกลาง
31,กลุ่มชุดดินที่ 31,กลุ่มดินเหนียวลึกถึงลึกมากที่เกิดจากวัตถุต้นกำเนิดดินเนื้อละเอียด ปฏิกิริยาดินเป็นกลางหรือเป็นด่าง การระบายน้ำดีถึงดีปานกลาง ความอุดมสมบูรณ์ปานกลาง
32,กลุ่มชุดดินที่ 32,กลุ่มดินร่วนหรือดินทรายแป้งละเอียดลึกมากที่เกิดจากตะกอนริมแม่น้ำ ปฏิกิริยาดินเป็นกรดจัด การระบายน้ำดีถึงดีปานกลาง ความอุดมสมบูรณ์ปานกลาง
33,กลุ่มชุดดินที่ 33,กลุ่มดินทรายแป้งละเอียดหรือดินร่วนละเอียดลึกมากที่เกิดจากตะกอนแม่น้ำหรือตะกอนน้ำพารูปพัด ปฏิกิริยาดินเป็นกรดเล็กน้อยถึงเป็นกลาง การระบายน้ำดีถึงดีปานกลาง ความอุดมสมบูรณ์ปานกลาง
34,กลุ่มชุดดินที่ 34,กลุ่มดินร่วนละเอียดลึกถึงลึกมากที่เกิดจากตะกอนลำน้ำหรือวัตถุต้นกำเนิดดินเนื้อหยาบ ปฏิกิริยาดินเป็นกรดจัด การระบายน้ำดีถึงดีปานกลาง ความอุดมสมบูรณ์ต่ำ
35,กลุ่มชุดดินที่ 35,กลุ่มดินร่วนละเอียดลึกถึงลึกมากที่เกิดจากตะกอนลำน้ำหรือวัตถุต้นกำเนิดดินเนื้อหยาบ ปฏิกิริยาดินเป็นกรดจัดมาก การระบายน้ำดีถึงดีปานกลาง ความอุดมสมบูรณ์ต่ำ
36,กลุ่มชุดดินที่ 36,กลุ่มดินร่วนละเอียดลึกถึงลึกมากที่เกิดจากตะกอนลำน้ำหรือวัตถุต้นกำเนิดดินเนื้อหยาบ ปฏิกิริยาดินกลางหรือเป็นด่าง การระบายน้ำดีถึงดีปานกลาง ความอุดมสมบูรณ์ต่ำถึงปานกลาง
37,กลุ่มชุดดินที่ 37,กลุ่มดินร่วนหยาบลึกปานกลาง ที่เกิดจากการสลายตัวหรือพัดพาตะกอนเนื้อหยาบ มาทับถมบนชั้นหินผุในช่วงความลึก 50-100 ซม. จากผิวดิน ปฏิกิริยาดินเป็นกรดจัดมาก การระบายน้ำดีถึงดีปานกลาง ความอุดมสมบูรณ์ต่ำ
38,กลุ่มชุดดินที่ 38,กลุ่มดินร่วนหยาบลึกมากที่เกิดจากตะกอนริมแม่น้ำ มีปฏิกิริยาดินเป็นกรดเล็กน้อยถึงเป็นกลางการระบายน้ำดีถึงดีปานกลาง ความอุดมสมบูรณ์ปานกลาง
39,กลุ่มชุดดินที่ 39,กลุ่มดินร่วนหยาบลึกถึงลึกมากที่เกิดจากตะกอนลำน้ำหรือวัตถุต้นกำเนิดดินเนื้อหยาบ ปฏิกิริยาดินเป็นกรดจัด การระบายน้ำดีถึงดีปานกลาง ความอุดมสมบูรณ์ต่ำ
40,กลุ่มชุดดินที่ 40,กลุ่มดินร่วนหยาบลึกถึงลึกมากที่เกิดจากตะกอนลำน้ำหรือวัตถุต้นกำเนิดเนื้อหยาบ ปฏิกิริยาดินเป็นกรดจัดหรือเป็นกลาง การระบายน้ำดีถึงดีปานกลาง ความอุดมสมบูรณ์ต่ำ
41,กลุ่มชุดดินที่ 41,กลุ่มดินทรายหนาปานกลาง ที่เกิดจากตะกอนลำน้ำหรือตะกอนเนื้อหยาบ ทับอยู่บนชั้นดินที่มีเนื้อดินเป็นดินร่วนปนดินเหนียว หรือดินร่วนเหนียวปนทรายแป้ง ปฏิกิริยาดินเป็นกรดเล็กน้อยถึงเป็นกลาง การระบายน้ำดี อยู่บนชั้นดินที่มีการระบายน้ำดีปานกลาง ความอุดมสมบูรณ์ต่ำ
42,กลุ่มชุดดินที่ 42,กลุ่มดินทรายที่มีชั้นดานอินทรีย์ภายในความลึก 100 ซม. จากผิวดิน ปฏิกิริยาดินเป็นกรดเล็กน้อยถึงเป็นกลาง การระบายน้ำค่อนข้างมากอยู่บนชั้นดินที่มีการระบายน้ำดีปานกลางถึงค่อนข้างเลว ความอุดมสมบูรณ์ต่ำ
43,กลุ่มชุดดินที่ 43,กลุ่มดินทรายลึกมากที่เกิดจากตะกอนลำน้ำหรือสันทรายชายทะเล ปฏิกิริยาดินเป็นกรดเล็กน้อยถึงเป็นด่าง การระบายน้ำค่อนข้างมาก ความอุดมสมบูรณ์ต่ำ
44,กลุ่มชุดดินที่ 44,กลุ่มดินทรายหนาที่เกิดจากตะกอนลำน้ำหรือตะกอนเนื้อหยาบ ปฏิกิริยาดินเป็นกรดเล็กน้อยถึงเป็นกลาง การระบายน้ำค่อนข้างมาก ความอุดมสมบูรณ์ต่ำ
45,กลุ่มชุดดินที่ 45,กลุ่มดินตื้นถึงลูกรัง เศษหินหรือก้อนหิน ปฏิกิริยาดินเป็นกรดจัด การระบายน้ำของดินดีถึงดีปานกลาง ความอุดมสมบูรณ์ต่ำ
46,กลุ่มชุดดินที่ 46,กลุ่มดินตื้นถึงก้อนกรวด หรือเศษหินปนลูกรังหนามาก ปฏิกิริยาดินเป็นกรดจัดมาก การระบายน้ำดี ความอุดมสมบูรณ์ต่ำ
47,กลุ่มชุดดินที่ 47,กลุ่มดินตื้นถึงชั้นหินพื้น ปฏิกิริยาดินเป็นกรดถึงเป็นกลาง มีการระบายน้ำดี ความอุดมสมบูรณ์ต่ำ
48,กลุ่มชุดดินที่ 48,กลุ่มดินตื้นถึงก้อนหินหรือเศษหิน และอาจพบชั้นหินพื้นภายในความลึก 150 ซม. จากผิวดิน ปฏิกิริยาดินเป็นกรดถึงเป็นกลาง การระบายน้ำดี ความอุดมสมบูรณ์ต่ำ
49,กลุ่มชุดดินที่ 49,กลุ่มดินตื้นถึงลูกรังหรือชั้นเชื่อมแข็งของเหล็กทับอยู่บนชั้นดินเหนียว ปฏิกิริยาดินเป็นกรดถึงเป็นกลาง การระบายน้ำดีถึงดีปานกลาง ความอุดมสมบูรณ์ต่ำ
50,กลุ่มชุดดินที่ 50,กลุ่มดินร่วนลึกปานกลางถึงเศษหิน ก้อนหินหรือชั้นหินพื้น ปฏิกิริยาดินเป็นกรดจัดมาก การระบายน้ำดี ความอุดมสมบูรณ์ต่ำ
51,กลุ่มชุดดินที่ 51,กลุ่มดินตื้นถึงชั้นหินพื้น ปฏิกิริยาดินเป็นกรดจัด การระบายน้ำดีถึงค่อนข้างมาก ความอุดมสมบูรณ์ต่ำ
52,กลุ่มชุดดินที่ 52,กลุ่มดินตื้นถึงชั้นมาร์ลหรือก้อนปูน ปฏิกิริยาดินเป็นด่าง การระบายน้ำดี ความอุดมสมบูรณ์ปานกลางถึงสูง
53,กลุ่มชุดดินที่ 53,กลุ่มดินเหนียวลึกปานกลางถึงชั้นหินพื้น ลูกรังหรือเศษหิน ปฏิกิริยาดินเป็นกรดจัด การระบายน้ำดี ความอุดมสมบูรณ์ต่ำ
54,กลุ่มชุดดินที่ 54,กลุ่มดินลึกปานกลางถึงชั้นมาร์ลหรือก้อนปูน ปฏิกิริยาดินเป็นด่าง การระบายน้ำดี ความอุดมสมบูรณ์ปานกลาง
55,กลุ่มชุดดินที่ 55,กลุ่มดินลึกปานกลางถึงชั้นหินพื้น เศษหิน ก้อนหินหรือลูกรัง ปฏิกิริยาดินเป็นกลางหรือเป็นด่าง การระบายน้ำดีถึงดีปานกลาง ความอุดมสมบูรณ์ปานกลาง
56,กลุ่มชุดดินที่ 56,กลุ่มดินลึกปานกลางถึงชั้นหินพื้น เศษหินหรือลูกรัง ปฏิกิริยาดินเป็นกรดจัด การระบายน้ำดีถึงดีปานกลาง ความอุดมสมบูรณ์ต่ำ
57,กลุ่มชุดดินที่ 57,กลุ่มดินที่มีวัสดุอินทรีย์หนา 40-100 ซม. จากผิวดิน ทับอยู่บนตะกอนน้ำทะเล ปฏิกิริยาดินเป็นกรดจัดมาก การระบายน้ำเลวมาก ความอุดมสมบูรณ์ต่ำ มีน้ำท่วมขังนานเกือบตลอดปี
58,กลุ่มชุดดินที่ 58,กลุ่มดินที่มีวัสดุอินทรีย์หนามากกว่า 100 ซม. จากผิวดิน มีปฏิกิริยาดินเป็นกรดและมีการระบายน้ำเลวมาก ความอุดมสมบูรณ์ต่ำ มีน้ำท่วมขังนานเกือบตลอดปี
59,กลุ่มชุดดินที่ 59,กลุ่มดินร่วนหยาบหรือดินร่วนละเอียดที่เกิดจากดินตะกอนน้ำพาเชิงซ้อน ชั้นดินมีลักษณะเป็นชั้นสลับ เนื้อดินไม่แน่นอนขึ้นอยู่กับตะกอนที่มาทับถม ปฏิกิริยาดินเป็นกรดจัดถึงเป็นกลาง การระบายน้ำเลวถึงค่อนข้างเลว ความอุดมสมบูรณ์ต่ำ
60,กลุ่มชุดดินที่ 60,กลุ่มดินร่วนที่เกิดจากดินตะกอนน้ำพาเชิงซ้อน ปฏิกิริยาดินเป็นกรดจัดถึงเป็นกลาง การระบายน้ำดีถึงดีปานกลาง ความอุดมสมบูรณ์ต่ำ
61,กลุ่มชุดดินที่ 61,กลุ่มดินเศษหินเชิงเขาที่เกิดจากการแตกผุพังสลายตัวของหินเชิงเขา พบเศษหินหรือก้อนหินร่วงลงมาทับถมบริเวณเชิงเขากระจัดกระจายทั่วไป ลักษณะและสมบัติดินไม่แน่นอน การระบายน้ำดี ความอุดมสมบูรณ์ต่ำ
62,กลุ่มชุดดินที่ 62,พื้นที่ลาดชันเชิงซ้อนที่มีความลาดชันมากกว่า 35 เปอร์เซ็นต์ พื้นที่บริเวณนี้ยังไม่มีการศึกษา สำรวจและจำแนกดิน เนื่องจากสภาพพื้นที่มีความลาดชันสูง ซึ่งถือว่ายากต่อการจัดการดูแลรักษาสำหรับการเกษตร
999,ชนิดดินอื่น ๆ,ไม่ได้ถูกจัดกลุ่มภายในข้อมูลชุดดิน (1-62)
